Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
2421     2421     xfce4-notifyd    13           2700         2000  25.93%
2232     2232     dbus-broker      5            6500          300  95.38%
1617     1715     Xorg:gdrv0       8            1200         8300   0.00%
5613     5613     modprobe         0           30200        13200  56.29%
5058     5620     Web Content      12           5200         1000  80.77%
4520     4520     kworker/u81:2    18         106900       109900   0.00%
2394     2394     panel-9-power-m  12            600          200  66.67%
2        2        kthreadd         0           17300         4300  75.14%
273      273      kworker/6:2      6           70600         6400  90.93%
3228     3248     QXcbEventQueue   15           1300          300  76.92%
5639     5639     kworker/18:1     18           1700          200  88.24%
1221     1221     irq/193-iwlwifi  8            6100         2000  67.21%
5663     5663     nvidia-modprobe  16           1100            0 100.00%
5616     5616     nvidia-modprobe  17          18700        12100  35.29%
5482     5482     kworker/17:0     17         198400        48400  75.60%
3229     3271     QXcbEventQueue   14           1000          200  80.00%
1617     1617     Xorg             16         112500       109400   2.76%
5625     5625     nvidia-modprobe  17           5300         1900  64.15%
5623     5623     modprobe         12            200         1300   0.00%
2752     2785     gdbus            15            800          200  75.00%
2841     2841     akonadiserver    13           6400         6000   6.25%
5644     5644     vkcube           13           4800          600  87.50%
5662     5662     false            13           5300          300  94.34%
3226     3238     QXcbEventQueue   12           2100          200  90.48%
2939     2939     blueman-tray     10          42200        39300   6.87%
5600     5600     vkcube           8           49400        40400  18.22%
29       29       migration/2      2           13300         1300  90.23%
3223     3223     akonadi_contact  12           1800          500  72.22%
3482     3493     Netlink Monitor  0            7600         1400  81.58%
2396     2396     panel-5-netload  18          19200         5700  70.31%
3227     3254     QXcbEventQueue   18           5300         1700  67.92%
3820     5643     Isolated Web Co  12           5700         1300  77.19%
2393     2393     panel-10-notifi  13           2600         1900  26.92%
4970     4985     Timer            16           6000         1200  80.00%
3715     3715     Isolated Web Co  13           1000          200  80.00%
5614     5614     sh               17          21300        21400   0.00%
118      118      migration/19     19           7300          800  89.04%
